Task,Dataset,Dataset_number,Representation,Representer,Precision,Classifier,Sensitivity,Specificity,Accuracy,MCC
iontransporters_membraneproteins,balanced,3,frozen,ESM-1b,full,FFNN,89.00±3.00,89.00±3.00,89.00±3.00,0.78±0.05
iontransporters_membraneproteins,balanced,7,finetuned,ESM-2,full,SVM,90.00±3.00,92.00±3.00,91.00±2.00,0.82±0.05
iontransporters_membraneproteins,balanced,7,finetuned,ESM-2,full,RF,83.00±4.00,86.00±1.00,85.00±2.00,0.70±0.03
iontransporters_membraneproteins,balanced,7,finetuned,ESM-2,full,kNN,89.00±2.00,73.00±4.00,81.00±2.00,0.63±0.04
iontransporters_membraneproteins,balanced,7,finetuned,ESM-2,full,LR,90.00±3.00,93.00±3.00,91.00±2.00,0.83±0.04
iontransporters_membraneproteins,balanced,7,finetuned,ESM-2,full,FFNN,92.00±3.00,90.00±3.00,91.00±3.00,0.83±0.06
ionchannels_membraneproteins,balanced,4,finetuned,ProtBERT,full,SVM,88.00±4.00,89.00±6.00,88.00±3.00,0.76±0.05
ionchannels_membraneproteins,balanced,4,finetuned,ProtBERT,full,RF,77.00±6.00,93.00±2.00,86.00±3.00,0.72±0.05
ionchannels_membraneproteins,balanced,4,finetuned,ProtBERT,full,kNN,88.00±2.00,60.00±10.00,73.00±6.00,0.49±0.10
ionchannels_membraneproteins,balanced,4,finetuned,ProtBERT,full,LR,88.00±3.00,89.00±6.00,88.00±4.00,0.77±0.07
ionchannels_membraneproteins,balanced,4,finetuned,ProtBERT,full,FFNN,88.00±4.00,89.00±6.00,88.00±3.00,0.76±0.06
iontransporters_membraneproteins,balanced,6,finetuned,ProtBERT-BFD,half,SVM,82.00±5.00,87.00±4.00,84.00±3.00,0.69±0.05
iontransporters_membraneproteins,balanced,6,finetuned,ProtBERT-BFD,half,RF,77.00±8.00,87.00±7.00,82.00±4.00,0.64±0.08
iontransporters_membraneproteins,balanced,6,finetuned,ProtBERT-BFD,half,kNN,84.00±3.00,73.00±3.00,78.00±1.00,0.57±0.02
iontransporters_membraneproteins,balanced,6,finetuned,ProtBERT-BFD,half,LR,85.00±2.00,85.00±6.00,85.00±3.00,0.71±0.06
iontransporters_membraneproteins,balanced,6,finetuned,ProtBERT-BFD,half,FFNN,83.00±2.00,85.00±6.00,84.00±3.00,0.68±0.07
ionchannels_membraneproteins,balanced,6,frozen,ESM-1b,full,SVM,90.00±3.00,96.00±2.00,94.00±1.00,0.87±0.03
ionchannels_membraneproteins,balanced,6,frozen,ESM-1b,full,RF,83.00±3.00,96.00±3.00,90.00±2.00,0.80±0.03
ionchannels_membraneproteins,balanced,6,frozen,ESM-1b,full,kNN,94.00±4.00,64.00±7.00,78.00±3.00,0.60±0.05
ionchannels_membraneproteins,balanced,6,frozen,ESM-1b,full,LR,93.00±1.00,93.00±3.00,93.00±2.00,0.86±0.04
ionchannels_membraneproteins,balanced,6,frozen,ESM-1b,full,FFNN,93.00±2.00,94.00±3.00,93.00±1.00,0.86±0.03
iontransporters_membraneproteins,balanced,3,finetuned,ProtBERT-BFD,full,SVM,87.00±5.00,90.00±3.00,88.00±4.00,0.77±0.09
iontransporters_membraneproteins,balanced,3,finetuned,ProtBERT-BFD,full,RF,81.00±10.00,86.00±2.00,84.00±6.00,0.67±0.11
iontransporters_membraneproteins,balanced,3,finetuned,ProtBERT-BFD,full,kNN,86.00±9.00,75.00±6.00,81.00±5.00,0.62±0.09
iontransporters_membraneproteins,balanced,3,finetuned,ProtBERT-BFD,full,LR,87.00±6.00,88.00±5.00,87.00±5.00,0.75±0.11
iontransporters_membraneproteins,balanced,3,finetuned,ProtBERT-BFD,full,FFNN,86.00±5.00,89.00±5.00,88.00±5.00,0.75±0.10
iontransporters_membraneproteins,balanced,10,frozen,ProtBERT-BFD,half,SVM,88.00±7.00,88.00±4.00,88.00±2.00,0.76±0.03
iontransporters_membraneproteins,balanced,10,frozen,ProtBERT-BFD,half,RF,79.00±8.00,86.00±2.00,83.00±3.00,0.66±0.06
iontransporters_membraneproteins,balanced,10,frozen,ProtBERT-BFD,half,kNN,84.00±7.00,77.00±4.00,80.00±3.00,0.61±0.07
iontransporters_membraneproteins,balanced,10,frozen,ProtBERT-BFD,half,LR,87.00±6.00,86.00±4.00,87.00±2.00,0.74±0.03
iontransporters_membraneproteins,balanced,10,frozen,ProtBERT-BFD,half,FFNN,86.00±6.00,88.00±3.00,87.00±2.00,0.75±0.04
iontransporters_membraneproteins,balanced,4,frozen,ProtBERT-BFD,half,SVM,85.00±1.00,85.00±2.00,85.00±1.00,0.70±0.03
iontransporters_membraneproteins,balanced,4,frozen,ProtBERT-BFD,half,RF,78.00±4.00,85.00±5.00,81.00±4.00,0.63±0.08
iontransporters_membraneproteins,balanced,4,frozen,ProtBERT-BFD,half,kNN,84.00±1.00,75.00±3.00,80.00±2.00,0.60±0.04
iontransporters_membraneproteins,balanced,4,frozen,ProtBERT-BFD,half,LR,85.00±2.00,86.00±5.00,86.00±2.00,0.71±0.04
iontransporters_membraneproteins,balanced,4,frozen,ProtBERT-BFD,half,FFNN,83.00±2.00,85.00±5.00,84.00±3.00,0.69±0.07
ionchannels_membraneproteins,balanced,4,frozen,ProtT5,half,SVM,90.00±4.00,96.00±3.00,93.00±1.00,0.87±0.03
